text,class
"Subject: failure notice  hi . this is the qmail - send program at gigas . keys . be .  i ' m afraid i wasn ' t able to deliver your message to the following addresses .  this is a permanent error ; i ' ve given up . sorry it didn ' t work out .  :  this address no longer accepts mail .  - - - below this line is a copy of the message .  return - path :  received : ( qmail 10006 invoked from network ) ; 19 jul 2005 10 : 57 : 35 - 0000  received : from unknown ( helo mailwisconsin . com ) ( 220 . 162 . 170 . 32 )  by gigas . keys . be with smtp ; 19 jul 2005 10 : 57 : 35 - 0000  received : from 205 . 214 . 42 . 66  ( squirrelmail authenticated user projecthoneypot @ projecthoneypot . org ) ;  by mailwisconsin . com with http id j 87 gzo 24815823 ;  tue , 19 jul 2005 10 : 57 : 46 + 0000  message - id :  date : tue , 19 jul 2005 10 : 57 : 46 + 0000  subject : just to her . . .  from : "" barry castillo ""  to : info @ deboel . net  user - agent : squirrelmail / 1 . 4 . 3 a  x - mailer : squirrelmail / 1 . 4 . 3 a  mime - version : 1 . 0  content - type : text / html ; charset = iso - 8859 - 1  content - transfer - encoding : 8 bit  x - priority : 3 ( normal )  importance : normal  soft viagra at $ 1 . 62 per dose  ready to boost your sex life ? positive ?  time to do it right now !  order soft viagra at incredibly low prices  starting at $ 1 . 99 per dose ! unbeiivable !",1
"Subject: claim your free $ 1000 home depot gift card .  claim your home depot gift card - a $ 1000 value . were sure you can find a use for this gift card in your area . ( ) .  by exclusiverewards  udexhoyp",1
"Subject: perfect logo charset = koi 8 - r "" >  thinking of breathing new life into your business ?  start from revamping its front - end - logo and visual identity .  logodentity offers creative custom design of ioqos ,  stationery and web - sites . under our carefui hand these powerful marketing toois  wiil brinq a breath of fresh air into your business  and make you stand out amonq the competitors .  you are just a click  away from your future success . ciick here to see the sampies of our artwork ,  check our prices and hot offers",1
"Subject: branded softs  roxio easy media creator 7 . 0 - $ 19 . 95  http : / / broadcasters . wxget . com /  i sing all kinds .  when a man cannot choose he ceases to be a man .  the more minimal the art , the more maximum the explanation .",1
"Subject: extra time - last 5 - 10 times longer  hello ,  did you ejaculate before or within a few minutes of  penetration ?  premature ejaculation occurs when you ejaculate too quickly  and without control . it occurs before or shortly after  penetration . premature ejaculation interferes with the sexual  pleasure of both you and your partner . it causes feelings of  guilt , embarrassment , frustration , and depression .  extra - time is the only male sexual performance formula that ,  not only stops premature ejaculation , but actually "" cures "" it .  extra - time is the only product that allows "" you "" to control  when you ejaculate .  - non - hormonal herbal therapy .  - acts locally on the sex organs .  - regulates process of ejaculation .  - acts through neuro - endocrine pathway .  - acts on the high centers of emotion in the brain .  look here : http : / / tabboulehs . net / et / ? meds  no thanks : http : / / tabboulehs . net / rr . php",1
"Subject: get the best price on your next car !  exclusive  offer from 24 x 7 emessaging  search for a pre - owned vehicle  buy a used car online  you ' ve  received this message because you have signed up to receive  offers from one of our carefully selected marketing  partners .  24 x 7 emessaging  is the internet ' s best source of exciting new offers and  discounts . if you no longer wish to receive these offers ,  please follow the unsubscribe instructions at the bottom .  to  unsubscribe from our mailing list , please  click  here ",1
"Subject: bro check out this awesome new product  wish you could be better ?  http : / / www . gretan . com / ss /  a cheerful mind is a vigorous mind .  war is god ' s way of teaching americans geography .  all human power is a compound of time and patience .  strive for excellence , not perfection .  if you ' re killed , you ' ve lost a very important part of your life .",1
"Subject: hidden gems help get a leg up on the market  homeland security investments  the terror attacks on the united states on september 11 , 2001 have  changed  the security landscape for the foreseeable future . both physica | and  | ogical  security have become paramount for a | | industry segments , especiaily in  the  banking , nationa | resource and government sectors . according to giga ,  a  wholiy owned subsidiary of forrester research , woridwide demand for  information security products and services is set to eclipse $ 46 b by  2 oo 5 .  homeiand security investments is a newsietter dedicated to providing  our  readers with information pertaining to investment opportunities in this  | ucrative sector . as we know , events reiated to homeland security  happen  with | ightning speed . what we as investors can do is position  ourselves in  such a way as to take advantage of the current trends and be ready to  capitalize on events which have yet to happen . homeland security  investments is here to heip our readers do just that .  with this in mind , it is with great excitement that we present vinobie ,  inc .  this stock is expected to do big things in both the near and long  terms .  symbol : vnbl . ob  current price : 0 . 08  short term target price : o . 35  12 month target price : 1 . 2 o  * * * why we beiieve vnbl . ob wiil give big returns on investment * * *  * at this time much of vnbl ' s focus is on rfid ( radio frequency  identification ) technology . this is technology which uses tiny sensors  to  transmit information about a person or object wirelessly .  * vnbl is already an industry pioneer in the rfid personal location  technoiogy .  * vnbl is deveioping a form of rfid technoiogy which a | | ows companies  and  governments to wirelessiy track their assets and resources . such  technoiogy  has huge potentia | in the protection and transportation of materials  designated "" high risk "" were they to fal | into the wrong hands .  * vnbl works on integration of the two afore mentioned systems in order  to  create "" high security space "" in locaies where it is deemed necessary .  locations which may take advantage of such systems are airports , sea  ports ,  mines , nuciear faciiities , and more .  * as with all stocks , news drives the short term price . fresh news has  made vnbl a hot buy .  news on vnbl  malibu , calif . - - ( business wire ) - - june 16 , 2005 - - vinoble , inc .  ( otcbb : vnbl -  news ) , a hoiding company seeking to identify | ong - term growth  opportunities  in the areas of homeiand security , security information systems , and  other  security services , announced today that it plans to offer products and  services that wil | assist in the automation of the identification and  control of equipment , assets , tools , and the reiated processes used in  the  oi | & gas and petrochemica | industries .  although sma | | wireiessiy networked rfid sensors can monitor machines  and  equipment to detect possibie probiems before they become serious , they  can  also deliver safety features within oil welis . oi | maybe trapped in  different | ayers of rock , along with gas and water . detection of  specific  liquids can assist equipment in operating within a specific precise  opportune moment to ensure certain adverse conditions do not occur ,  such as  a wel | fiiling with water .  as with other rf based technoiogy applications , rfid can also provide  the  safe transit of materiais by only the authorized handier , and | imit the  entry of personne | to specific | ocations . ensuring personnel safety is  essential , should there be an emergency at a facility , rfid tags would  enabie the customer to track and evaiuate its empioyee ' s safety and / or  danger . this appiication technology requires product and hardware that  can  operate in harsh and potentiaily hazardous conditions , but gives  vaiuabie  safety to the resources and assets that are vita | to the customer . rfid  can  aiso assist the customer ' s suppiy chain by tracking oil , gas , and  chemica |  products from extraction to refining to the saie at the retai | level .  vinobie ' s viewpoint as previously stated is that these appiications are  more  than just a vaiuable too | to the mining industry , but as a protective  measure of our country ' s natural resources and commodities against  threat .  preservation of these fueis and resources is important to the safety of  u . s .  industry and economy .  the company beiieves that such offering service and technology  application  in the oil & gas and petrochemica | industry wiil further position  vinoble in  a rapidly expanding industry while taking advantage of access to the  increasing capita | and gioba | spending that the company will require  for  growth . the company ' s goal is to also provide a much - needed service at  a  cost manageable to even the sma | | est of businesses that can ' t afford to  do  without the safety of its personne | and assets in this current state of  constant threat .  this is outstanding news . the growth potentia | for this company is  exceptiona | . in an already hot industry , vnbl . ob stands out as a truiy  innovative pioneer . we see big things happening to this stock .  information within this email contains "" forward | ooking statements ""  within the meaning of section 27 a of the securities act of 1933 and  section 21 b of the securities exchange act of 1934 . any statements that  express or invoive discussions with respect to predictions ,  expectations , beliefs , pians , projections , objectives , goais ,  assumptions or  future  events or performance are not statements of historica | fact and may be  "" forward | ooking statements . "" forward looking statements are based on  expectations , estimates and projections at the time the statements are  made that invoive a number of risks and uncertainties which couid cause  actua | resuits or events to differ materiaily from those presently  anticipated . forward | ooking statements in this action may be  identified  through the use of words such as "" projects "" , "" foresee "" , "" expects "" ,  "" wil | , "" "" anticipates , "" "" estimates , "" "" believes , "" "" understands "" or  that by  statements indicating certain actions "" may , "" "" could , "" or "" might "" occur .  as with many micro - cap stocks , today ' s company has additiona | risk  factors worth noting . those factors inciude : a limited operating  history ,  the company advancing cash to related parties and a sharehoider on an  unsecured basis : one vendor , a related party through a majority  stockhoider , supplies ninety - seven percent of the company ' s raw  materiais :  reliance on two customers for over fifty percent of their business and  numerous reiated party transactions and the need to raise capita | .  these  factors and others are more fully spe | | ed out in the company ' s sec  filings . we urge you to read the filings before you invest . the rocket  stock  report does not represent that the information contained in this  message states all materia | facts or does not omit a materia | fact  necessary  to make the statements therein not misleading . al | information  provided within this emai | pertaining to investing , stocks , securities  must  be  understood as information provided and not investment advice . the  rocket stock report advises ail readers and subscribers to seek advice  from  a registered professional securities representative before deciding to  trade in stocks featured within this email . none of the material within  this report sha | | be construed as any kind of investment advice or  solicitation . many of these companies are on the verge of bankruptcy .  you  can lose a | | your money by investing in this stock . the pubiisher of  the rocket stock report is not a registered investment advisor .  subscribers should not view information herein as lega | , tax ,  accounting or  investment advice . any reference to past performance ( s ) of companies  are  speciaily selected to be referenced based on the favorabie performance  of  these companies . you would need perfect timing to achieve the results  in the examples given . there can be no assurance of that happening .  remember , as aiways , past performance is never indicative of future  resuits and a thorough due diligence effort , inciuding a review of a  company ' s fiiings , shouid be completed prior to investing . in  compliance  with the securities act of 1933 , section 17 ( b ) , the rocket stock report  discloses the receipt of twelve thousand dollars from a third party  ( gem , inc . ) , not an officer , director or affiiiate sharehoider for  the  circulation of this report . gem , inc . has a position in the stock  they  wiil sel | at any time without notice . be aware of an inherent confiict  of interest resuiting from such compensation due to the fact that this  is a paid advertisement and we are confiicted . ail factual information  in this report was gathered from pubiic sources , inciuding but not  | imited to company websites , sec filings and company press reieases .  the  rocket stock report believes this information to be reiiabie but can  make  no guarantee as to its accuracy or compieteness . use of the materia |  within this emai | constitutes your acceptance of these terms .",1
"Subject: 10 minutes before sex , lasts for 24 - 36 hours  legal , prescription medications under the essential guidance of licensed medical  under every stone lurks a politician .  experience is the name everyone gives to their mistakes .  without music , life would be a mistake .",1
"Subject: wish you could be better ?  penis growth extreme  http : / / www . siratu . com / ss /  cruelty is like hope : it springs eternal .  amusement is the happiness of those who cannot think .  to each his own . ( suum cuique )  always forgive your enemies ; nothing annoys them so much .  bad news goes about in clogs , good news in stockinged feet .",1
"Subject: 1000 full color brochures 335  the tsa design products & ideas expo show is just around the corner and if you are going to be an exhibitor you will need something to hand out to your prospective customers . wiley printing wants to help you do that by offering great prices on quality print collateral . here are a few examples :  1 , 000 business cards for $ 55 - full color , uv coated with 14 pt . paper stock  1 , 000 postcards for $ 150 - full color , uv coated with 14 pt . paper stock  1 , 000 brochures for $ 335 - full color , two sided 100 # gloss text  if you are interested in any of these offers or if you are looking for something a little different please contact us through one of the methods below .  wiley print  4650 cole ave # 105  dallas , tx 75205  214 . 443 . 0908 phone  214 . 443 . 0308 fax  info @ wileyprint . com  note : this is the first and last time wiley print will ever send you an email . however , if you would like to opt out please reply to this email with remove me in the subject line .",1
"Subject: search for the best and cheapest pharmacy online  save 80 % over the brandnames like viagra , cialis and propecia  anatomy is destiny .  oh , what a dear ravishing thing is the beginning of an amour !  it is not every question that deserves an answer .",1
"Subject: failure notice  hi . this is the qmail - send program at mail - 03 . cdsnet . net .  i ' m afraid i wasn ' t able to deliver your message to the following addresses .  this is a permanent error ; i ' ve given up . sorry it didn ' t work out .  :  sorry , i couldn ' t find any host named bb . internetcds . com . ( # 5 . 1 . 2 )  - - - below this line is a copy of the message .  return - path :  received : ( qmail 50355 invoked by alias ) ; 19 jul 2005 10 : 58 : 51 - 0000  delivered - to : nic - notify @ internetcds . com  received : ( qmail 50352 invoked from network ) ; 19 jul 2005 10 : 58 : 51 - 0000  received : from unknown ( helo localhost ) ( 127 . 0 . 0 . 1 )  by mail - 03 . cdsnet . net with smtp ; 19 jul 2005 10 : 58 : 51 - 0000  received : from mail - 03 . cdsnet . net ( [ 127 . 0 . 0 . 1 ] )  by localhost ( mail - 03 . cdsnet . net [ 127 . 0 . 0 . 1 ] ) ( amavisd - new , port 10024 )  with smtp id 46679 - 09 for ;  tue , 19 jul 2005 03 : 58 : 51 - 0700 ( pdt )  received : ( qmail 50346 invoked from network ) ; 19 jul 2005 10 : 58 : 50 - 0000  received : from yahoobb 220056020109 . bbtec . net ( helo mailwisconsin . com ) ( 220 . 56 . 20 . 109 )  by mail - 03 . cdsnet . net with smtp ; 19 jul 2005 10 : 58 : 50 - 0000  received : from 205 . 214 . 42 . 66  ( squirrelmail authenticated user projecthoneypot @ projecthoneypot . org ) ;  by mailwisconsin . com with http id j 87 gzo 09360462 ;  tue , 19 jul 2005 10 : 57 : 46 + 0000  message - id :  date : tue , 19 jul 2005 10 : 57 : 46 + 0000  subject : just to her . . .  from : "" barry castillo ""  to : nic - notify @ internetcds . com  user - agent : squirrelmail / 1 . 4 . 3 a  x - mailer : squirrelmail / 1 . 4 . 3 a  mime - version : 1 . 0  content - type : text / html ; charset = iso - 8859 - 1  content - transfer - encoding : 8 bit  x - priority : 3 ( normal )  importance : normal  x - virus - scanned : by amavisd - new at internetcds . com  soft viagra at $ 1 . 62 per dose  ready to boost your sex life ? positive ?  time to do it right now !  order soft viagra at incredibly low prices  starting at $ 1 . 99 per dose ! unbelivabie !",1
"Subject: any med for your girl to be happy !  your girl is unsatisfied with your potency ? don ' t wait until she finds another men !  click here to choose from a great variety of llcensed love t @ bs ! best pri $ es , fast shippinq and guaranteed effect ! here you buy it riqht from warehouse !  the store is verified by bbb and approved by visa ! ",1
"Subject: re : wearable electronics  hi my name is jason , i recently visited www . clothingplus . fi / and wanted to offer my services . we could help you with your wearable electronics website . we create websites that mean business for you ! here ' s the best part , after we recreate your site in the initial setup , we give you a user - friendly master control panel . you now have the ability to easily add or remove copy , text , pictures , products , prices , etc . when you want to ! i would be happy to contact you and brainstorm some ideas . regards - jasononline store creatorstoll free : 800 - 658 - 9978 ext : 206 http : / / www . . com",1
" top - level logo and business identity  corporate image can say a lot of things about your  company . contemporary rhythm of life is too dynamic . sometimes it takes oniy  several seconds for  your company to be remembered or to be lost among competitors .  get your logo , business stationery or website done  riqht now !  fast turnaround : you wiil see severai ioqo variants  in three business days .  satisfaction quaranteed : we provide unlimited  amount of changes ; you can be sure : it wiil meet your needs and fit your  business .  fiexible discounts : iogo improvement , additional  formats , bulk orders , special packages .  creative design for  competitive price : have a look at it right now !",1
"July Sale: Save 50% on Premium Get unlimited access to our brand-new AI curriculum, including Introduction to ChatGPT, AI Ethics, Large Language Models Concepts, and more. Alongside in-demand data science skill and career tracks across Python, SQL, Power BI, and more.",1
" your trusted source for prescription medication .  best prescription generic meds 4 less .  anger is one of the sinners of the soul .  write what you like ; there is no other rule .  life ' s most urgent question is : what are you doing for others ?  gold for friends , lead for foes .",1
"Land your dream job with Certification Save $110 Ranked #1 by Forbes, DataCamp Certifications are available at all levels and are industry-leading signals of 100% job readiness.",1
"Your 5-Minute Low-Code Download What's New in Low-Code | July 2023 Wondering what's new in low-code? We've rounded up the top 4 low-code resources for the month. Check them out below. eBook: Low-Code Buyer's Guide Find out how you can evaluate low-code platforms and the key features and capabilities you should look for to build enterprise-grade apps. Download Now Blog: Innovate & Create with Low-Code Learn about the three key trends — agile, AI, and democratization — that are driving widespread adoption of low-code development. Read Now Webinar Ultimate Guide to Low-Code Discover how low-code can revolutionize your organization's application development capabilities in an increasingly competitive landscape. Register Now Infographic:Transformative Power of Low-Code See how you can reduce time-to-value and outpace your competitors with high-performance low-code. Download Now",1
"Studocu logo Get ahead of the class with Premium access See what perks you could be getting if you went Premium today. Get 30 days free Premium Try it for yourself with a free 30 day trial that you can cancel any time. Start free trial ",1
"Congratulations! You've won a free vacation! Hi Nghia, Congratulations! You've won a free vacation to Hawaii! We've chosen you at random from our database of customers. All you need to do is reply to this email with your contact information and we'll send you all the details. This is a limited time offer, so don't delay! Reply today and start planning your dream vacation. Sincerely, The Team",1
